deal,Buyer:Lawyer 1,Buyer:Lawyer 1 Law Firm,Buyer:Lawyer 2,Buyer:Lawyer 2 Law Firm,Buyer:Lawyer 3,Buyer:Lawyer 3 Law Firm,Buyer:Lawyer 4,Buyer:Lawyer 4 Law Firm,Buyer:Lawyer 5,Buyer:Lawyer 5 Law Firm,Buyer:Lawyer 6,Buyer:Lawyer 6 Law Firm,Buyer:Lawyer 7,Buyer:Lawyer 7 Law Firm,Buyer:Lawyer 8,Buyer:Lawyer 8 Law Firm,Target/Seller:Lawyer 1,Target/Seller:Lawyer 1 Law Firm,Target/Seller:Lawyer 2,Target/Seller:Lawyer 2 Law Firm,Target/Seller:Lawyer 3,Target/Seller:Lawyer 3 Law Firm,Target/Seller:Lawyer 4,Target/Seller:Lawyer 4 Law Firm,Target/Seller:Lawyer 5,Target/Seller:Lawyer 5 Law Firm,Target/Seller:Lawyer 6,Target/Seller:Lawyer 6 Law Firm,Target/Seller:Lawyer 7,Target/Seller:Lawyer 7 Law Firm,Target/Seller:Lawyer 8,Target/Seller:Lawyer 8 Law Firm
025 - LinkedIn Corporation and Bizo Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ted G. Wang,Fenwick & West LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - LinkedIn Corporation and Bizo Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R. Gregory Roussel,Fenwick & West LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Mill Point Capital LLC acquisition of stock of Pioneer Electrogroup Canada.docx,David M. Becker,"Becker Legal Group, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Mill Point Capital LLC acquisition of stock of Pioneer Electrogroup Canada.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rick Werner,"Haynes and Boone, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Monotype Imaging Inc and Olapic Inc merger.docx,John Mutkoski,Goodwin Procter LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Monotype Imaging Inc and Olapic Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adam S. Reuben,"Gunderson Dettmer Stough Villeneuve Franklin & Hachigian, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - National Commerce Corporation and Reunion Bank of Florida merger.docx,John P. Dulin Jr.,"Maynard, Cooper & Gale, P.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - National Commerce Corporation and Reunion Bank of Florida merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,John P. Greeley,"Smith Mackinnon, PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Nuverra Environmental Solutions Inc acquisition of equity interests of Cle.docx,Christopher S. Collins,Vinson & Elkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Nuverra Environmental Solutions Inc acquisition of equity interests of Cle.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Christopher J. Hubbert,Kohrman Jackson & Krantz LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Patriot National Bancorp Inc acquisition of subsidiary equity interests an.docx,Alan L. Zeiger,Blank Rome LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Patriot National Bancorp Inc acquisition of subsidiary equity interests an.docx,NA,NA,NA,"Skadden, Arps, Slate, Meagher & Flom LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Patriot National Bancorp Inc acquisition of subsidiary equity interests an.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guy Maisnik,Jeffer Mangels Butler & Mitchell LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Patriot National Bancorp Inc acquisition of subsidiary equity interests an.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Starfield & Smith, P.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Ribbon Communications Inc and Edgewater Networks Inc merger.docx,David S. Allinson,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Ribbon Communications Inc and Edgewater Networks Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jeffrey P. Higgins,"Gunderson Dettmer Stough Villeneuve Franklin & Hachigian, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Roper Technologies Inc and Project Diamond Holdings Corporation merger.docx,John Amorosi,Davis Polk & Wardwell LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Roper Technologies Inc and Project Diamond Holdings Corporation merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gerald T. Nowak,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Roper Technologies Inc and Project Diamond Holdings Corporation merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Theodore A. Peto,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Securitas Electronic Security Inc acquisition of stock of Kratos Public Sa.docx,Kevin P. Stichter,K&L Gates LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Securitas Electronic Security Inc acquisition of stock of Kratos Public Sa.docx,NA,NA,John E. Blair Jr.,K&L Gates LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Securitas Electronic Security Inc acquisition of stock of Kratos Public Sa.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Teri O'Brien,Paul Hastings LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Sequential Brands Group Inc acquisition of equity interests of With You LL.docx,NA,"Gibson, Dunn & Crutcher LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Sequential Brands Group Inc acquisition of equity interests of With You LL.docx,NA,NA,NA,White & Case LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Sequential Brands Group Inc acquisition of equity interests of With You LL.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mitchell C. Littman,"Littman Krooks, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Sequential Brands Group Inc acquisition of equity interests of With You LL.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charles W. Grimes,Grimes LLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - The Provident Bank and Team Capital Bank merger.docx,John J. Gorman,"Luse Gorman Pomerenk & Schick, P.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - The Provident Bank and Team Capital Bank merger.docx,NA,NA,Marc P. Levy,"Luse Gorman Pomerenk & Schick, P.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - The Provident Bank and Team Capital Bank merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Robert A. Schwartz,"Windels Marx Lane & Mittendorf, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Universal Corporation acquisition of stock of Silva International Inc.docx,John Owen Gwathmey,Troutman Pepper Hamilton Sanders LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Universal Corporation acquisition of stock of Silva International Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Christina Tate,Winston & Strawn LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
025 - Universal Corporation acquisition of stock of Silva International Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Griesar - Torsten Steinhaus,Steinhaus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Addus HomeCare Corporation acquisition of stock of Ambercare Corporation.docx,David Cox,"Bass, Berry & Sims PLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Addus HomeCare Corporation acquisition of stock of Ambercare Corporation.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Karen L. Kahn,Modrall Sperling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Ankura Consulting Group LLC acquisition of subsidiary equity interests of .docx,Neal J. Reenan,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Ankura Consulting Group LLC acquisition of subsidiary equity interests of .docx,NA,NA,Adam T. Clifford,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Ankura Consulting Group LLC acquisition of subsidiary equity interests of .docx,NA,NA,NA,NA,NA,Davis Polk & Wardwell LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Ankura Consulting Group LLC acquisition of subsidiary equity interests of .docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steve Sutherland,Sidley Austin LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Ankura Consulting Group LLC acquisition of subsidiary equity interests of .docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scott Williams,Sidley Austin LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Apax Partners LLP acquisition of subsidiary stock and certain assets of Ap.docx,Ryerson Symons,Simpson Thacher & Barlett LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Apax Partners LLP acquisition of subsidiary stock and certain assets of Ap.docx,NA,NA,Benjamin P. Schaye,Simpson Thacher & Barlett LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Apax Partners LLP acquisition of subsidiary stock and certain assets of Ap.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jonathan Benloulou,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Apax Partners LLP acquisition of subsidiary stock and certain assets of Ap.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Global Immigration Associates, P.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - B Riley Financial Inc acquisition of equity interests of BR Brand Holdings.docx,Patrick S. Brown,Sullivan & Cromwell LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - B Riley Financial Inc acquisition of equity interests of BR Brand Holdings.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bruce Ewing,Dorsey & Whitney LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Beasley Broadcast Group Inc and Greater Media Inc merger.docx,Marc A. Granger,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Beasley Broadcast Group Inc and Greater Media Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard D. Bohm,Debevoise & Plimpton LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Black Stone Minerals Company LP acquisition of certain assets and subsidia.docx,James T. Thompson,Porter Hedges LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Black Stone Minerals Company LP acquisition of certain assets and subsidia.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bryan Edward Loocke,Vinson & Elkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - BNC Bancorp and South Street Financial Corp merger.docx,Richard T. Hills,"Womble Carlyle Sandridge & Rice, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - BNC Bancorp and South Street Financial Corp merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Robert A. Singer,"Brooks, Pierce, McLendon, Humphrey & Leonard, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - CACI International Inc acquisition of equity interests of LGS Innovations .docx,Stephen Glover,"Gibson, Dunn & Crutcher LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - CACI International Inc acquisition of equity interests of LGS Innovations .docx,NA,NA,Alexander Orr,"Gibson, Dunn & Crutcher LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - CACI International Inc acquisition of equity interests of LGS Innovations .docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jeffrey W. Richards,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - CACI International Inc acquisition of equity interests of LGS Innovations .docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jon-Micheal A. Wheat,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - CACI International Inc acquisition of equity interests of LGS Innovations .docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Emma E. Lange-Novak,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - CBS Outdoor Americas Inc and CBS Outdoor LLC acquisition of equity interes.docx,John J. Hyland,Jones Day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - CBS Outdoor Americas Inc and CBS Outdoor LLC acquisition of equity interes.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Andrew J. Colosimo,"Fried, Frank, Harris, Shriver & Jacobson LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Community Bank System Inc and Northeast Retirement Services Inc merger.docx,Andrew P. Alin,"Cadwalader, Wickersham & Taft LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Community Bank System Inc and Northeast Retirement Services Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael K. Krebs,Nutter McClennen & Fish LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Corporate Resource Services Inc acquisition of stock of TS Staffing Servic.docx,William E. Swart,Polsinelli Shughart PC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Corporate Resource Services Inc acquisition of stock of TS Staffing Servic.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Entercom Communications Corp acquisition of stock of Lincoln Financial Med.docx,Zachary A. Judd,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Entercom Communications Corp acquisition of stock of Lincoln Financial Med.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nicholas G. Demmo,"Wachtell, Lipton, Rosen & Katz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Entercom Communications Corp acquisition of stock of Lincoln Financial Med.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lerman Senter PLLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Hartford Life and Accident Insurance Company acquisition of certain assets.docx,Stephen G. Rooney,Mayer Brown LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Hartford Life and Accident Insurance Company acquisition of certain assets.docx,NA,NA,David W. Alberts,Mayer Brown LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Hartford Life and Accident Insurance Company acquisition of certain assets.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael Groll,Willkie Farr & Gallagher LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Hartford Life and Accident Insurance Company acquisition of certain assets.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rajab S. Abbassi,Willkie Farr & Gallagher LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - LendingTree Inc acquisition of equity interests of QuoteWizardcom LLC.docx,David Sands,"Sheppard, Mullin, Richter & Hampton LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - LendingTree Inc acquisition of equity interests of QuoteWizardcom LLC.docx,NA,NA,Zachary M. Turke,"Sheppard, Mullin, Richter & Hampton LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - LendingTree Inc acquisition of equity interests of QuoteWizardcom LLC.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben Straughan,Perkins Coie LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - LendingTree Inc acquisition of equity interests of QuoteWizardcom LLC.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nick Ferrer,Perkins Coie LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Littlejohn And Co LLC acquisition of stock of Kaman Industrial Technologie.docx,Sean P. Griffiths,"Gibson, Dunn & Crutcher LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Littlejohn And Co LLC acquisition of stock of Kaman Industrial Technologie.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,James S. Bruce,K&L Gates LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - LiveDeal Inc acquisition of stock of Marquis Industries Inc.docx,Randolf W. Katz,Baker & Hostetler LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - LiveDeal Inc acquisition of stock of Marquis Industries Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Edward Hine Jr.,"Edward Hine, Jr., P.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - MedQuist Holdings Inc and Multimodal Technologies Inc merger.docx,Steven J. Abrams,Pepper Hamilton LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - MedQuist Holdings Inc and Multimodal Technologies Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dana Blakslee,Duane Morris LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - MetLife Inc acquisition of equity interests of Logan Circle Partners LP an.docx,Floyd I. Wittlin,"Morgan, Lewis & Bockius LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - MetLife Inc acquisition of equity interests of Logan Circle Partners LP an.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Joseph A. Coco,"Skadden, Arps, Slate, Meagher & Flom LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - MetLife Inc acquisition of equity interests of Logan Circle Partners LP an.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peter D. Serating,"Skadden, Arps, Slate, Meagher & Flom LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - News plus  Media Capital Group LLC acquisition of stock of Las Vegas Revie.docx,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - News plus  Media Capital Group LLC acquisition of stock of Las Vegas Revie.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - PRA Health Sciences Inc and Symphony Health Solutions Corporation merger.docx,Marni Lerner,Simpson Thacher & Bartlett LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - PRA Health Sciences Inc and Symphony Health Solutions Corporation merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gary R. Goldenberg,Blank Rome LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - PRA Health Sciences Inc and Symphony Health Solutions Corporation merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linsey Bozzelli,Blank Rome LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Proofpoint Inc and Wombat Security Technologies Inc merger.docx,Kris S. Withrow,Fenwick & West LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Proofpoint Inc and Wombat Security Technologies Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thomas G. Buchanan,Buchanan Ingersoll & Rooney PC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Sanchez Production Partners LP acquisition of equity interests of Catarina.docx,C. Timothy Fenn,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
