deal,First,MI,Last,Law_Firm,Type
001 - Liberty Utilities Co acquisition of stock of New York American Water Compa.docx,Brian,C.,Miner,Holland & Knight LLP,Target/Seller
001 - Mainstreet Health Investments Inc acquisition of equity interests of Care .docx,Jon,NA,Northup,Goodmans LLP,Buyer
001 - Mainstreet Health Investments Inc acquisition of equity interests of Care .docx,Mark,NA,Spiro,Goodmans LLP,Buyer
001 - Mainstreet Health Investments Inc acquisition of equity interests of Care .docx,James,R.,Tanenbaum,Morrison & Foerster LLP,Target/Seller
001 - Medical Properties Trust Inc and Capella Holdings Inc merger.docx,Thomas,O.,Kolb,"Baker, Donelson, Bearman, Caldwell & Berkowitz, PC",Buyer
001 - Medical Properties Trust Inc and Capella Holdings Inc merger.docx,Margaret,A.,Gibson,Kirkland & Ellis LLP,Target/Seller
001 - Medical Properties Trust Inc and Capella Holdings Inc merger.docx,Christopher,M.,Thomas,Kirkland & Ellis LLP,Target/Seller
001 - Medical Properties Trust Inc and Capella Holdings Inc merger.docx,NA,NA,NA,"Epstein Becker & Green, P.C.",Target/Seller
001 - Medical Properties Trust Inc and Capella Holdings Inc merger.docx,NA,NA,NA,Honigman Miller Schwartz and Cohn LLP,Target/Seller
001 - Nanometrics Incorporated acquisition of stock of 4D Technology Corporation.docx,Eva,NA,Davis,Winston & Strawn LLP,Buyer
001 - Nanometrics Incorporated acquisition of stock of 4D Technology Corporation.docx,Lawrence,NA,Hecker,Hecker PLLC,Target/Seller
001 - Nautilus Inc acquisition of stock of OF Holdings Inc.docx,Peter,B.,Cancelmo,Garvey Schubert Barer,Buyer
001 - Nautilus Inc acquisition of stock of OF Holdings Inc.docx,David,A.,Scherl,Morrison Cohen LLP,Target/Seller
001 - PAE Incorporated and Metis Solutions Corporation merger.docx,NA,NA,NA,Crowell & Moring LLP,Buyer
001 - PAE Incorporated and Metis Solutions Corporation merger.docx,Matthew,D.,Klaiber,Miles & Stockbridge P.C.,Target/Seller
001 - Rapid7 Inc and RevelOps Inc dba Logentries merger.docx,Alfred,L.,Browne,Cooley LLP,Buyer
001 - Rapid7 Inc and RevelOps Inc dba Logentries merger.docx,John,H.,Chory,Latham & Watkins LLP,Target/Seller
001 - Spirit of Texas Bancshares Inc and Comanche National Corporation merger.docx,Peter,G.,Weinstock,Hunton Andrews Kurth LLP,Buyer
001 - Spirit of Texas Bancshares Inc and Comanche National Corporation merger.docx,Chet,A.,Fenimore,"Fenimore, Kay, Harrison & Ford, LLP",Target/Seller
001 - Triumph Business Capital acquisition of certain assets of Interstate Capit.docx,Mark,F.,Veblen,"Wachtell, Lipton, Rosen & Katz",Buyer
001 - Triumph Business Capital acquisition of certain assets of Interstate Capit.docx,Allan,M.,Goldfarb,Kemp Smith LLP,Target/Seller
001 - WageWorks Inc acquisition of assets of CONEXIS Benefits Administrators LP.docx,Mark,NA,Baudler,Wilson Sonsini Goodrich & Rosati,Buyer
001 - WageWorks Inc acquisition of assets of CONEXIS Benefits Administrators LP.docx,Robert,T.,Ishii,Wilson Sonsini Goodrich & Rosati,Buyer
001 - WageWorks Inc acquisition of assets of CONEXIS Benefits Administrators LP.docx,C.,Craig,Carlson,Stradling Yocca Carlson & Rauth,Target/Seller
002 - Accelrys Inc and VelQuest Corporation merger.docx,Scott,E.,Oross,Paul Hastings LLP,Buyer
002 - Accelrys Inc and VelQuest Corporation merger.docx,NA,NA,NA,Christopher Holsing (representing Target),Target/Seller
002 - Accelrys Inc and VelQuest Corporation merger.docx,Andrew,E.,Taylor,Choate Hall & Stewart LLP,Target/Seller
002 - Accelrys Inc and VelQuest Corporation merger.docx,NA,NA,NA,Choate Hall & Stewart LLP,Target/Seller
002 - Advanced Drainage Systems Inc and Infiltrator Water Technologies Ultimate .docx,Matthew,S.,Bailey,Squire Patton Boggs (US) LLP,Buyer
002 - Advanced Drainage Systems Inc and Infiltrator Water Technologies Ultimate .docx,Matthew,C.,Palmer,Squire Patton Boggs (US) LLP,Buyer
002 - Advanced Drainage Systems Inc and Infiltrator Water Technologies Ultimate .docx,NA,NA,NA,Davis Polk,Buyer
002 - Advanced Drainage Systems Inc and Infiltrator Water Technologies Ultimate .docx,Jeremy,S.,Liss,Kirkland & Ellis LLP,Target/Seller
002 - Advanced Drainage Systems Inc and Infiltrator Water Technologies Ultimate .docx,Matthew,S.,Arenson,Kirkland & Ellis LLP,Target/Seller
002 - Ashford Inc acquisition of subsidiary equity interests of Remington Holdin.docx,NA,NA,NA,Norton Rose Fulbright US LLP,Buyer
002 - Ashford Inc acquisition of subsidiary equity interests of Remington Holdin.docx,Neel,NA,Lemon,Baker Botts LLP,Target/Seller
002 - Ashford Inc acquisition of subsidiary equity interests of Remington Holdin.docx,Vicki,NA,Odette,"Haynes and Boone, LLP",Target/Seller
002 - Ashford Inc acquisition of subsidiary equity interests of Remington Holdin.docx,NA,NA,NA,"Haynes and Boone, LLP",Target/Seller
002 - Compania de Petroleos de Chile COPEC SA acquisition of equity interests of.docx,David,L.,Williams,Simpson Thacher & Bartlett LLC,Buyer
002 - Compania de Petroleos de Chile COPEC SA acquisition of equity interests of.docx,Edward,NA,Chung,Simpson Thacher & Bartlett LLC,Buyer
002 - Compania de Petroleos de Chile COPEC SA acquisition of equity interests of.docx,NA,NA,NA,Bradley Arant Boult Cummings LLP,Target/Seller
002 - CSW Industrials Inc acquisition of stock of TA Industries Inc dba TRUaire.docx,R.,Scott,Cohen,Shearman & Sterling LLP,Buyer
002 - CSW Industrials Inc acquisition of stock of TA Industries Inc dba TRUaire.docx,Robert,J.,Cardone,Shearman & Sterling LLP,Buyer
002 - CSW Industrials Inc acquisition of stock of TA Industries Inc dba TRUaire.docx,Will,NA,Chuchawat,"Sheppard, Mullin, Richter & Hampton LLP",Target/Seller
002 - Dun And Bradstreet Inc and Credibility Corp merger.docx,Creighton,O’M.,Condon,Shearman & Sterling LLP,Buyer
002 - Dun And Bradstreet Inc and Credibility Corp merger.docx,Alexander,B.,Temel,Latham & Watkins LLP,Target/Seller
002 - Envestnet Inc and PIEtech Inc merger.docx,Edward,S.,Best,Mayer Brown LLP,Buyer
002 - Envestnet Inc and PIEtech Inc merger.docx,Andrew,NA,Tucker,Womble Bond Dickinson (US) LLP,Target/Seller
002 - F5 Networks Inc and Shape Security Inc merger.docx,Mike,NA,Ringler,"Skadden, Arps, Slate, Meagher & Flom LLP",Buyer
002 - F5 Networks Inc and Shape Security Inc merger.docx,Jen,NA,Fitchen,"Sidley Austin, LLP",Target/Seller
002 - F5 Networks Inc and Shape Security Inc merger.docx,Hank,NA,Barry,"Sidley Austin, LLP",Target/Seller
