deal,First,MI,Last,Law_Firm,Type
023 - Taptica International Ltd acquisition of certain assets of Tremor Video In.docx,Itay,NA,Deutsch,"Naschitz, Brandes, Amir & Co.",Buyer
023 - Taptica International Ltd acquisition of certain assets of Tremor Video In.docx,Miguel,J.,Vega,Cooley LLP,Target/Seller
023 - Telular Corporation and SkyBitz Inc merger.docx,Thomas,NA,Ferguson,Kelley Drye & Warren LLP,Buyer
023 - Telular Corporation and SkyBitz Inc merger.docx,Timothy,NA,Lavender,Kelley Drye & Warren LLP,Buyer
023 - Telular Corporation and SkyBitz Inc merger.docx,Joshua,NA,Klatzkin,Goodwin Procter LLP,Target/Seller
023 - Telular Corporation and SkyBitz Inc merger.docx,Seung,NA,Baik,Goodwin Procter LLP,Target/Seller
023 - TForce Worldwide Inc acquisition of certain assets of R R Donnelley And So.docx,NA,NA,NA,Not disclosed at signing.,Buyer
023 - TForce Worldwide Inc acquisition of certain assets of R R Donnelley And So.docx,Adam,NA,Skilken,Baker & Hostetler LLP,Target/Seller
023 - Verizon Communications Inc acquisition of stock of Yahoo Holdings Inc.docx,Daniel,A.,Neff,"Wachtell, Lipton, Rosen & Katz",Buyer
023 - Verizon Communications Inc acquisition of stock of Yahoo Holdings Inc.docx,Steven,A.,Rosenblum,"Wachtell, Lipton, Rosen & Katz",Buyer
023 - Verizon Communications Inc acquisition of stock of Yahoo Holdings Inc.docx,David,E.,Shapiro,"Wachtell, Lipton, Rosen & Katz",Buyer
023 - Verizon Communications Inc acquisition of stock of Yahoo Holdings Inc.docx,Edward,J.,Lee,"Wachtell, Lipton, Rosen & Katz",Buyer
023 - Verizon Communications Inc acquisition of stock of Yahoo Holdings Inc.docx,NA,NA,NA,"Gibson, Dunn & Crutcher LLP",Buyer
023 - Verizon Communications Inc acquisition of stock of Yahoo Holdings Inc.docx,NA,NA,NA,Covington & Burling LLP,Buyer
023 - Verizon Communications Inc acquisition of stock of Yahoo Holdings Inc.docx,NA,NA,NA,Winston & Strawn LLP,Buyer
023 - Verizon Communications Inc acquisition of stock of Yahoo Holdings Inc.docx,Marc,R.,Packer,"Skadden, Arps, Slate, Meagher & Flom LLP",Target/Seller
023 - Verizon Communications Inc acquisition of stock of Yahoo Holdings Inc.docx,Michael,J.,Mies,"Skadden, Arps, Slate, Meagher & Flom LLP",Target/Seller
023 - Verizon Communications Inc acquisition of stock of Yahoo Holdings Inc.docx,Faiza,NA,Saeed,"Cravath, Swaine & Moore LLP",Target/Seller
023 - Verizon Communications Inc acquisition of stock of Yahoo Holdings Inc.docx,Eric,L.,Schiele,"Cravath, Swaine & Moore LLP",Target/Seller
023 - Verizon Communications Inc acquisition of stock of Yahoo Holdings Inc.docx,Larry,NA,Sonsini,"Wilson Sonsini Goodrich & Rosati, Professional Corporation",Target/Seller
023 - Verizon Communications Inc acquisition of stock of Yahoo Holdings Inc.docx,NA,NA,NA,"Weil, Gotshal & Manges LLP",Target/Seller
024 - AAndE Advanced Closure Systems LLC acquisition of certain assets of RTI Su.docx,Robert,NA,Miller,Paul Hastings LLP,Buyer
024 - AAndE Advanced Closure Systems LLC acquisition of certain assets of RTI Su.docx,Robert,NA,Grammig,Holland & Knight LLP,Target/Seller
024 - Affymetrix Inc and eBioscience Holding Company Inc merger.docx,William,M.,Kelly,Davis Polk & Wardwell LLP,Buyer
024 - Affymetrix Inc and eBioscience Holding Company Inc merger.docx,Sarah,K.,Solum,Davis Polk & Wardwell LLP,Buyer
024 - Affymetrix Inc and eBioscience Holding Company Inc merger.docx,Jeffrey,T.,Baglio,DLA Piper LLP (US),Target/Seller
024 - Apptio Inc acquisition of equity interests of Digital Fuel SV LLC.docx,Patrick,NA,Schultheis,Wilson Sonsini Goodrich & Rosati,Buyer
024 - Apptio Inc acquisition of equity interests of Digital Fuel SV LLC.docx,Michael,NA,Nordtvedt,Wilson Sonsini Goodrich & Rosati,Buyer
024 - Apptio Inc acquisition of equity interests of Digital Fuel SV LLC.docx,John,NA,Brust,Wilson Sonsini Goodrich & Rosati,Buyer
024 - Apptio Inc acquisition of equity interests of Digital Fuel SV LLC.docx,David,NA,Smith,O’Melveny & Myers LLP,Target/Seller
024 - BayCom Corp and TIG Bancorp merger.docx,Dave,M.,Muchnikoff,"Silver, Freedman, Taff & Tiernan LLP",Buyer
024 - BayCom Corp and TIG Bancorp merger.docx,John,S.,Zeilinger,Baird Holm LLP,Target/Seller
024 - BayCom Corp and TIG Bancorp merger.docx,Kevin,P.,Tracy,Baird Holm LLP,Target/Seller
024 - Better Choice Company Inc acquisition of stock of Halo Purely For Pets Inc.docx,Robert,M.,Katz,Latham & Watkins LLP,Buyer
024 - Better Choice Company Inc acquisition of stock of Halo Purely For Pets Inc.docx,Jared,NA,Hershberg,"Greenberg Traurig, LLP",Target/Seller
024 - Better Choice Company Inc acquisition of stock of Halo Purely For Pets Inc.docx,Erik,NA,Lopez,Jasso Lopez PLLC,Target/Seller
024 - Bio-Techne Corporation and Exosome Diagnostics Inc merger.docx,Melodie,NA,Rose,"Fredrikson & Byron, P.A.",Buyer
024 - Bio-Techne Corporation and Exosome Diagnostics Inc merger.docx,Ryan,NA,Brauer,"Fredrikson & Byron, P.A.",Buyer
024 - Bio-Techne Corporation and Exosome Diagnostics Inc merger.docx,Michael,NA,Bison,Goodwin Procter LLP,Target/Seller
024 - Bio-Techne Corporation and Exosome Diagnostics Inc merger.docx,Jason,NA,Breen,Goodwin Procter LLP,Target/Seller
024 - Byline Bancorp Inc and First Evanston Bancorp Inc merger.docx,NA,NA,NA,Vedder Price P.C.,Buyer
024 - Byline Bancorp Inc and First Evanston Bancorp Inc merger.docx,NA,NA,NA,"Wachtell, Lipton, Rosen & Katz",Target/Seller
024 - Carbonite Inc and Webroot Inc merger.docx,Graham,NA,Robinson,"Skadden, Arps, Slate, Meagher & Flom LLP",Buyer
024 - Carbonite Inc and Webroot Inc merger.docx,Faiz,NA,Ahmad,"Skadden, Arps, Slate, Meagher & Flom LLP",Buyer
024 - Carbonite Inc and Webroot Inc merger.docx,Scott,B.,Joachim,Goodwin Procter LLP,Target/Seller
024 - Carbonite Inc and Webroot Inc merger.docx,Alessandra,Simons,Holland,Goodwin Procter LLP,Target/Seller
024 - Carbonite Inc and Webroot Inc merger.docx,Hart,NA,LLP,Goodwin Procter LLP,Target/Seller
024 - Consilio Inc acquisition of certain assets and subsidiary equity interests.docx,David,NA,Allinson,Latham & Watkins LLP,Buyer
024 - Consilio Inc acquisition of certain assets and subsidiary equity interests.docx,Shilpi,NA,Gupta,"Skadden, Arps, Slate, Meagher & Flom LLP",Target/Seller
024 - Crawford And Company acquisition of equity interests of WeGoLook LLC.docx,Wayne,NA,Bradley,Dentons US LLP,Buyer
024 - Crawford And Company acquisition of equity interests of WeGoLook LLC.docx,Spencer,W.,Haines,McAfee & Taft A Professional Corporation,Target/Seller
024 - Crawford And Company acquisition of equity interests of WeGoLook LLC.docx,Joshua,D.,Smith,McAfee & Taft A Professional Corporation,Target/Seller
024 - CrossAmerica Partners LP acquisition of stock of Erickson Oil Products Inc.docx,Steven,R.,Jacobs,Jackson Walker L.L.P.,Buyer
024 - CrossAmerica Partners LP acquisition of stock of Erickson Oil Products Inc.docx,Mark,T.,Johnson,"Winthrop & Weinstine, P.A.",Target/Seller
024 - Evolent Health LLC and NCIS Holdings Inc merger.docx,Angela,NA,Humphreys,"Bass, Berry & Sims PLC",Buyer
024 - Evolent Health LLC and NCIS Holdings Inc merger.docx,Matthew,F.,Bergmann,Winston & Strawn LLP,Target/Seller
024 - Evolent Health LLC and NCIS Holdings Inc merger.docx,NA,NA,NA,Groom Law Group,Target/Seller
024 - First Financial Bancorp and Insight Bank merger.docx,James,J.,Barresi,Squire Sanders (US) LLP,Buyer
024 - First Financial Bancorp and Insight Bank merger.docx,Jeffrey,E.,Smith,"Vorys, Sater, Seymour and Pease LLP",Target/Seller
024 - First Merchants Corporation and Community Bancshares Inc merger.docx,Jeremy,E.,Hill,Bingham Greenebaum Doll LLP,Buyer
024 - First Merchants Corporation and Community Bancshares Inc merger.docx,Michael,J.,Messaglia,Krieg DeVault LLP,Target/Seller
024 - G-III Apparel Group Ltd acquisition of stock of Donna Karan International .docx,Neil,NA,Gold,Norton Rose Fulbright US LLP,Buyer
024 - G-III Apparel Group Ltd acquisition of stock of Donna Karan International .docx,Manuel,G.,Rivera,Norton Rose Fulbright US LLP,Buyer
024 - G-III Apparel Group Ltd acquisition of stock of Donna Karan International .docx,NA,NA,NA,Simpson Thacher & Bartlett LLP,Buyer
024 - G-III Apparel Group Ltd acquisition of stock of Donna Karan International .docx,Peter,J.,Barack,Barack Ferrazzano Kirschbaum & Nagelberg LLP,Target/Seller
024 - MAXIMUS Federal Services Inc acquisition of certain assets of General Dyna.docx,Michael,NA,Mannix,Holland & Knight LLP,Buyer
024 - MAXIMUS Federal Services Inc acquisition of certain assets of General Dyna.docx,Valarie,NA,Ney,Holland & Knight LLP,Buyer
024 - MAXIMUS Federal Services Inc acquisition of certain assets of General Dyna.docx,Michael,T.,Wolf,Jenner & Block LLP,Target/Seller
024 - Pattern Energy Group Inc acquisition of equity interests of Lost Creek Win.docx,Paul,NA,Kraske,"Skadden, Arps, Slate, Meagher & Flom LLP",Buyer
024 - Pattern Energy Group Inc acquisition of equity interests of Lost Creek Win.docx,Katherine,M.,Gillespie,Winston & Strawn LLP,Target/Seller
024 - Radiology Partners Inc acquisition of subsidiary equity interests of MEDNA.docx,David,NA,Feirstein,Kirkland & Ellis LLP,Buyer
024 - Radiology Partners Inc acquisition of subsidiary equity interests of MEDNA.docx,Willard,S.,Boothby,Kirkland & Ellis LLP,Buyer
024 - Radiology Partners Inc acquisition of subsidiary equity interests of MEDNA.docx,Joshua,NA,Samek,DLA Piper LLP (US),Target/Seller
024 - Radiology Partners Inc acquisition of subsidiary equity interests of MEDNA.docx,Russell,NA,Sass,DLA Piper LLP (US),Target/Seller
024 - Radiology Partners Inc acquisition of subsidiary equity interests of MEDNA.docx,and,Brian,Gordon,DLA Piper LLP (US),Target/Seller
024 - Radiology Partners Inc acquisition of subsidiary equity interests of MEDNA.docx,NA,NA,NA,Cleary Gottlieb Steen & Hamilton LLP,Target/Seller
024 - Revolution Lighting Technologies Inc and Value Lighting Inc merger.docx,Marita,A.,Makinen,Lowenstein Sandler LLP,Buyer
024 - Revolution Lighting Technologies Inc and Value Lighting Inc merger.docx,NA,NA,NA,"Norris McLaughlin & Marcus, P.A.",Target/Seller
024 - Revolution Lighting Technologies Inc and Value Lighting Inc merger.docx,NA,NA,NA,"Norris McLaughlin & Marcus, P.A.",Target/Seller
024 - The Carlyle Group LP and TAndD Holdings Inc acquisition of equity interest.docx,NA,NA,NA,Debevoise & Plimpton LLP,Buyer
024 - The Carlyle Group LP and TAndD Holdings Inc acquisition of equity interest.docx,NA,NA,NA,Nishimura & Asahi,Buyer
024 - The Carlyle Group LP and TAndD Holdings Inc acquisition of equity interest.docx,NA,NA,NA,King & Spalding LLP,Buyer
024 - The Carlyle Group LP and TAndD Holdings Inc acquisition of equity interest.docx,NA,NA,NA,"Appleby (representing Buyer Guarantor and T&D United Capital Co., Ltd.)",Buyer
024 - The Carlyle Group LP and TAndD Holdings Inc acquisition of equity interest.docx,Robert,NA,Rachofsky,Willkie Farr & Gallagher LLP,Target/Seller
024 - The Carlyle Group LP and TAndD Holdings Inc acquisition of equity interest.docx,NA,NA,NA,Willkie Farr & Gallagher LLP,Target/Seller
024 - The Carlyle Group LP and TAndD Holdings Inc acquisition of equity interest.docx,Michael,P.,Goldman,Sidley Austin LLP,Target/Seller
024 - The Carlyle Group LP and TAndD Holdings Inc acquisition of equity interest.docx,NA,NA,NA,Sidley Austin LLP,Target/Seller
024 - The First Bancshares Inc and Southwest Banc Shares Inc merger.docx,Mark,NA,Kanaly,Alston & Bird LLP,Buyer
024 - The First Bancshares Inc and Southwest Banc Shares Inc merger.docx,Ron,NA,Snider,Jones Walker LLP,Target/Seller
024 - The First Bancshares Inc and Southwest Banc Shares Inc merger.docx,NA,NA,NA,Jones Walker LLP,Target/Seller
024 - The Hertz Corporation and Donlen Corporation merger.docx,Thomas,A.,Monson,Jenner & Block LLP,Buyer
024 - The Hertz Corporation and Donlen Corporation merger.docx,NA,NA,NA,"Weil, Gotshal & Manges LLP (for structured finance matters only)",Buyer
024 - The Hertz Corporation and Donlen Corporation merger.docx,Rodd,M.,Schreiber,"Skadden, Arps, Slate, Meagher & Flom LLP",Target/Seller
024 - The ONE Group Hospitality Inc acquisition of certain assets of SBEEG Holdi.docx,Sahir,NA,Surmeli,"Mintz, Levin, Cohn, Ferris, Glovsky and Popeo, P.C.",Buyer
024 - The ONE Group Hospitality Inc acquisition of certain assets of SBEEG Holdi.docx,Brandt,U.,Mori,Venable LLP,Target/Seller
024 - The ONE Group Hospitality Inc acquisition of certain assets of SBEEG Holdi.docx,W.,Bryan,Rakes,Venable LLP,Target/Seller
024 - TopBuild Corp and USI Legend Parent Inc merger.docx,Drew,M.,Altman,"Greenberg Traurig, P.A.",Buyer
024 - TopBuild Corp and USI Legend Parent Inc merger.docx,Jaret,L.,Davis,"Greenberg Traurig, P.A.",Buyer
024 - TopBuild Corp and USI Legend Parent Inc merger.docx,Steven,R.,Shoemate,"Gibson, Dunn & Crutcher LLP",Target/Seller
024 - Tsubaki Nakashima Co Ltd acquisition of assets and subsidiary equity inter.docx,Fuyuo,NA,Mitomi,Morrison & Foerster LLP,Buyer
024 - Tsubaki Nakashima Co Ltd acquisition of assets and subsidiary equity inter.docx,Randy,S.,Laxer,Morrison & Foerster LLP,Buyer
024 - Tsubaki Nakashima Co Ltd acquisition of assets and subsidiary equity inter.docx,Richard,NA,Mattern,"Bass, Berry & Sims PLC",Target/Seller
024 - Tsubaki Nakashima Co Ltd acquisition of assets and subsidiary equity inter.docx,Howard,NA,Lamar,"Bass, Berry & Sims PLC",Target/Seller
024 - United Insurance Holdings Corp acquisition of stock of Interboro Insurance.docx,Patrick,J.,Dugan,Squire Patton Boggs (US) LLP,Buyer
024 - United Insurance Holdings Corp acquisition of stock of Interboro Insurance.docx,James,V.,Hatem,Nixon Peabody LLP,Target/Seller
025 - 3D Systems Corporation acquisition of stock of Z Corporation and VIDAR Sys.docx,William,B.,Rowland,Jones Day,Buyer
025 - 3D Systems Corporation acquisition of stock of Z Corporation and VIDAR Sys.docx,Bryan,E.,Davis,Jones Day,Buyer
025 - 3D Systems Corporation acquisition of stock of Z Corporation and VIDAR Sys.docx,M.,Adel,Aslani-Far,Latham & Watkins LLP,Target/Seller
025 - American Securities LLC and Lindsay Goldberg LLC acquisition of certain as.docx,Richard,NA,Hall,"Cravath, Swaine & Moore LLP",Buyer
025 - American Securities LLC and Lindsay Goldberg LLC acquisition of certain as.docx,David,J.,Perkins,"Cravath, Swaine & Moore LLP",Buyer
025 - American Securities LLC and Lindsay Goldberg LLC acquisition of certain as.docx,Edward,D.,Herlihy,"Wachtell, Lipton, Rosen & Katz",Target/Seller
025 - American Securities LLC and Lindsay Goldberg LLC acquisition of certain as.docx,Jacob,A.,Kling,"Wachtell, Lipton, Rosen & Katz",Target/Seller
025 - Apollo Global Management Inc acquisition of subsidiary equity interests an.docx,Brian,P.,Finnegan,"Paul, Weiss, Rifkind, Wharton & Garrison LLP",Buyer
025 - Apollo Global Management Inc acquisition of subsidiary equity interests an.docx,Philip,NA,Richter,"Fried, Frank, Harris, Shriver & Jacobson LLP",Target/Seller
025 - Apollo Global Management Inc acquisition of subsidiary equity interests an.docx,Maxwell,NA,Yim,"Fried, Frank, Harris, Shriver & Jacobson LLP",Target/Seller
025 - Cincinnati Bell Inc and OnX Holdings LLC merger.docx,NA,NA,NA,"Cravath, Swaine & Moore LLP",Buyer
025 - Cincinnati Bell Inc and OnX Holdings LLC merger.docx,NA,NA,NA,"Cravath, Swaine & Moore LLP",Buyer
025 - Cincinnati Bell Inc and OnX Holdings LLC merger.docx,Rick,A.,Presutti,Schulte Roth & Zabel LLP,Target/Seller
025 - Electronic Arts Inc and PopCap Games Inc merger.docx,Todd,NA,Cleary,Wilson Sonsini Goodrich & Rosati,Buyer
025 - Electronic Arts Inc and PopCap Games Inc merger.docx,John,M.,Steel,DLA Piper LLP,Target/Seller
025 - Electronic Arts Inc and PopCap Games Inc merger.docx,Trenton,C.,Dykes,DLA Piper LLP,Target/Seller
025 - Entergy Companies acquisition of certain assets of Union Power Partners LP.docx,NA,NA,NA,Not disclosed at signing.,Buyer
025 - Entergy Companies acquisition of certain assets of Union Power Partners LP.docx,William,NA,Bice,"Milbank, Tweed, Hadley & McCloy LLP",Target/Seller
025 - FCB Financial Holdings Inc and Floridian Community Holdings Inc merger.docx,C.,Andrew,Gerlach,Sullivan & Cromwell LLP,Buyer
025 - FCB Financial Holdings Inc and Floridian Community Holdings Inc merger.docx,NA,NA,NA,Kramer Levin Naftalis & Frankel LLP,Buyer
025 - FCB Financial Holdings Inc and Floridian Community Holdings Inc merger.docx,A.,George,Igler,"Igler and Pearlman, P.A.",Target/Seller
025 - FCB Financial Holdings Inc and Floridian Community Holdings Inc merger.docx,Richard,NA,Pearlman,"Igler and Pearlman, P.A.",Target/Seller
025 - Fox Factory Holding Corp acquisition of assets of Sport Truck USA Inc.docx,Steven,J.,Lowney,"Foster Swift Collins & Smith, PC",Buyer
025 - Fox Factory Holding Corp acquisition of assets of Sport Truck USA Inc.docx,Toby,D.,Merchant,Squire Sanders (US) LLP,Target/Seller
025 - Graphic Packaging Holding Company acquisition of certain assets and subsid.docx,W.,Scott,Ortwein,Alston & Bird LLP,Buyer
025 - Graphic Packaging Holding Company acquisition of certain assets and subsid.docx,Jeffrey,J.,Rosen,Debevoise & Plimpton LLP,Target/Seller
025 - Graphic Packaging Holding Company acquisition of certain assets and subsid.docx,Michael,A.,Diz,Debevoise & Plimpton LLP,Target/Seller
025 - Great Elm Capital Group Inc acquisition of stock of Great Elm DME Inc.docx,Alain,NA,Dermarkar,Jones Day,Buyer
025 - Great Elm Capital Group Inc acquisition of stock of Great Elm DME Inc.docx,Alan,NA,Roth,Winston & Strawn LLP,Target/Seller
025 - Great Elm Capital Group Inc acquisition of stock of Great Elm DME Inc.docx,James,A.,Burns,Carson Messinger PLLC,Target/Seller
025 - GrubHub Holdings Inc acquisition of equity interests of Eat24 LLC.docx,Daniel,E.,Wolf,Kirkland & Ellis LLP,Buyer
025 - GrubHub Holdings Inc acquisition of equity interests of Eat24 LLC.docx,Laura,NA,Sullivan,Kirkland & Ellis LLP,Buyer
025 - GrubHub Holdings Inc acquisition of equity interests of Eat24 LLC.docx,Mark,W.,Seneca,"Orrick, Herrington & Sutcliffe LLP",Target/Seller
025 - HomeStreet Inc and Orange County Business Bank merger.docx,Marcus,J.,Williams,Davis Wright Tremaine LLP,Buyer
025 - HomeStreet Inc and Orange County Business Bank merger.docx,Keith,T.,Holmes,"King, Holmes, Paterno & Soriano LLP",Target/Seller
025 - Horizon Pharma plc and Crealta Holdings LLC merger.docx,Barbara,NA,Borden,Cooley LLP,Buyer
025 - Horizon Pharma plc and Crealta Holdings LLC merger.docx,NA,NA,NA,McCann FitzGerald,Buyer
025 - Horizon Pharma plc and Crealta Holdings LLC merger.docx,Sanford,E.,Perl,Kirkland & Ellis LLP,Target/Seller
025 - Horizon Pharma plc and Crealta Holdings LLC merger.docx,Michael,H.,Weed,Kirkland & Ellis LLP,Target/Seller
025 - LafrageHolcim acquisition of certain assets of Continental Materials Corpo.docx,Harvey,NA,Koning,Varnum LLP,Buyer
025 - LafrageHolcim acquisition of certain assets of Continental Materials Corpo.docx,Michael,C.,Jurasek,Taft Stettinius & Hollister LLP,Target/Seller
025 - LinkedIn Corporation and Bizo Inc merger.docx,Martin,W.,Korman,"Wilson Sonsini Goodrich & Rosati, Professional Corporation",Buyer
025 - LinkedIn Corporation and Bizo Inc merger.docx,Bradley,L.,Finkelstein,"Wilson Sonsini Goodrich & Rosati, Professional Corporation",Buyer
025 - LinkedIn Corporation and Bizo Inc merger.docx,Ted,G.,Wang,Fenwick & West LLP,Target/Seller
025 - LinkedIn Corporation and Bizo Inc merger.docx,R.,Gregory,Roussel,Fenwick & West LLP,Target/Seller
025 - Mill Point Capital LLC acquisition of stock of Pioneer Electrogroup Canada.docx,David,M.,Becker,"Becker Legal Group, LLC",Buyer
025 - Mill Point Capital LLC acquisition of stock of Pioneer Electrogroup Canada.docx,Rick,NA,Werner,"Haynes and Boone, LLP",Target/Seller
025 - Monotype Imaging Inc and Olapic Inc merger.docx,John,NA,Mutkoski,Goodwin Procter LLP,Buyer
025 - Monotype Imaging Inc and Olapic Inc merger.docx,Adam,S.,Reuben,"Gunderson Dettmer Stough Villeneuve Franklin & Hachigian, LLP",Target/Seller
025 - National Commerce Corporation and Reunion Bank of Florida merger.docx,NA,NA,NA,"Maynard, Cooper & Gale, P.C.",Buyer
025 - National Commerce Corporation and Reunion Bank of Florida merger.docx,John,P.,Greeley,"Smith Mackinnon, PA",Target/Seller
025 - Nuverra Environmental Solutions Inc acquisition of equity interests of Cle.docx,Christopher,S.,Collins,Vinson & Elkins LLP,Buyer
025 - Nuverra Environmental Solutions Inc acquisition of equity interests of Cle.docx,Christopher,J.,Hubbert,Kohrman Jackson & Krantz LLP,Target/Seller
025 - Patriot National Bancorp Inc acquisition of subsidiary equity interests an.docx,Alan,L.,Zeiger,Blank Rome LLP,Buyer
025 - Patriot National Bancorp Inc acquisition of subsidiary equity interests an.docx,NA,NA,NA,"Skadden, Arps, Slate, Meagher & Flom LLP",Buyer
025 - Patriot National Bancorp Inc acquisition of subsidiary equity interests an.docx,Guy,NA,Maisnik,Jeffer Mangels Butler & Mitchell LLP,Target/Seller
025 - Patriot National Bancorp Inc acquisition of subsidiary equity interests an.docx,NA,NA,NA,"Starfield & Smith, P.C.",Target/Seller
025 - Ribbon Communications Inc and Edgewater Networks Inc merger.docx,David,S.,Allinson,Latham & Watkins LLP,Buyer
025 - Ribbon Communications Inc and Edgewater Networks Inc merger.docx,Jeffrey,P.,Higgins,"Gunderson Dettmer Stough Villeneuve Franklin & Hachigian, LLP",Target/Seller
025 - Roper Technologies Inc and Project Diamond Holdings Corporation merger.docx,John,NA,Amorosi,Davis Polk & Wardwell LLP,Buyer
025 - Roper Technologies Inc and Project Diamond Holdings Corporation merger.docx,Gerald,T.,Nowak,Kirkland & Ellis LLP,Target/Seller
025 - Roper Technologies Inc and Project Diamond Holdings Corporation merger.docx,Theodore,A.,Peto,Kirkland & Ellis LLP,Target/Seller
025 - Securitas Electronic Security Inc acquisition of stock of Kratos Public Sa.docx,Kevin,P.,Stichter,K&L Gates LLP,Buyer
025 - Securitas Electronic Security Inc acquisition of stock of Kratos Public Sa.docx,NA,NA,NA,K&L Gates LLP,Buyer
025 - Securitas Electronic Security Inc acquisition of stock of Kratos Public Sa.docx,Teri,NA,O'Brien,Paul Hastings LLP,Target/Seller
025 - Sequential Brands Group Inc acquisition of equity interests of With You LL.docx,NA,NA,NA,"Gibson, Dunn & Crutcher LLP",Buyer
025 - Sequential Brands Group Inc acquisition of equity interests of With You LL.docx,NA,NA,NA,White & Case LLP,Buyer
025 - Sequential Brands Group Inc acquisition of equity interests of With You LL.docx,Mitchell,C.,Littman,"Littman Krooks, LLP",Target/Seller
025 - Sequential Brands Group Inc acquisition of equity interests of With You LL.docx,Charles,W.,Grimes,Grimes LLC,Target/Seller
025 - The Provident Bank and Team Capital Bank merger.docx,John,J.,Gorman,"Luse Gorman Pomerenk & Schick, P.C.",Buyer
025 - The Provident Bank and Team Capital Bank merger.docx,Marc,P.,Levy,"Luse Gorman Pomerenk & Schick, P.C.",Buyer
025 - The Provident Bank and Team Capital Bank merger.docx,Robert,A.,Schwartz,"Windels Marx Lane & Mittendorf, LLP",Target/Seller
025 - Universal Corporation acquisition of stock of Silva International Inc.docx,John,Owen,Gwathmey,Troutman Pepper Hamilton Sanders LLP,Buyer
025 - Universal Corporation acquisition of stock of Silva International Inc.docx,Christina,NA,Tate,Winston & Strawn LLP,Target/Seller
025 - Universal Corporation acquisition of stock of Silva International Inc.docx,NA,NA,NA,Steinhaus,Target/Seller
026 - Addus HomeCare Corporation acquisition of stock of Ambercare Corporation.docx,David,NA,Cox,"Bass, Berry & Sims PLC",Buyer
026 - Addus HomeCare Corporation acquisition of stock of Ambercare Corporation.docx,Karen,L.,Kahn,Modrall Sperling,Target/Seller
026 - Ankura Consulting Group LLC acquisition of subsidiary equity interests of .docx,Neal,J.,Reenan,Kirkland & Ellis LLP,Buyer
026 - Ankura Consulting Group LLC acquisition of subsidiary equity interests of .docx,Adam,T.,Clifford,Kirkland & Ellis LLP,Buyer
026 - Ankura Consulting Group LLC acquisition of subsidiary equity interests of .docx,NA,NA,NA,Davis Polk & Wardwell LLP,Buyer
026 - Ankura Consulting Group LLC acquisition of subsidiary equity interests of .docx,Steve,NA,Sutherland,Sidley Austin LLP,Target/Seller
026 - Ankura Consulting Group LLC acquisition of subsidiary equity interests of .docx,Scott,NA,Williams,Sidley Austin LLP,Target/Seller
026 - Apax Partners LLP acquisition of subsidiary stock and certain assets of Ap.docx,Ryerson,NA,Symons,Simpson Thacher & Barlett LLP,Buyer
026 - Apax Partners LLP acquisition of subsidiary stock and certain assets of Ap.docx,Benjamin,P.,Schaye,Simpson Thacher & Barlett LLP,Buyer
026 - Apax Partners LLP acquisition of subsidiary stock and certain assets of Ap.docx,Jonathan,NA,Benloulou,Kirkland & Ellis LLP,Target/Seller
026 - Apax Partners LLP acquisition of subsidiary stock and certain assets of Ap.docx,NA,NA,NA,"Global Immigration Associates, P.C.",Target/Seller
026 - B Riley Financial Inc acquisition of equity interests of BR Brand Holdings.docx,Patrick,S.,Brown,Sullivan & Cromwell LLP,Buyer
026 - B Riley Financial Inc acquisition of equity interests of BR Brand Holdings.docx,Bruce,NA,Ewing,Dorsey & Whitney LLP,Target/Seller
026 - Beasley Broadcast Group Inc and Greater Media Inc merger.docx,Marc,A.,Granger,Latham & Watkins LLP,Buyer
026 - Beasley Broadcast Group Inc and Greater Media Inc merger.docx,Richard,D.,Bohm,Debevoise & Plimpton LLP,Target/Seller
026 - Black Stone Minerals Company LP acquisition of certain assets and subsidia.docx,James,T.,Thompson,Porter Hedges LLP,Buyer
026 - Black Stone Minerals Company LP acquisition of certain assets and subsidia.docx,Bryan,Edward,Loocke,Vinson & Elkins LLP,Target/Seller
026 - BNC Bancorp and South Street Financial Corp merger.docx,Richard,T.,Hills,"Womble Carlyle Sandridge & Rice, LLP",Buyer
026 - BNC Bancorp and South Street Financial Corp merger.docx,Robert,A.,Singer,"Brooks, Pierce, McLendon, Humphrey & Leonard, LLP",Target/Seller
026 - CACI International Inc acquisition of equity interests of LGS Innovations .docx,Stephen,NA,Glover,"Gibson, Dunn & Crutcher LLP",Buyer
026 - CACI International Inc acquisition of equity interests of LGS Innovations .docx,Alexander,NA,Orr,"Gibson, Dunn & Crutcher LLP",Buyer
026 - CACI International Inc acquisition of equity interests of LGS Innovations .docx,Jeffrey,W.,Richards,Kirkland & Ellis LLP,Target/Seller
026 - CACI International Inc acquisition of equity interests of LGS Innovations .docx,Jon-Micheal,A.,Wheat,Kirkland & Ellis LLP,Target/Seller
026 - CACI International Inc acquisition of equity interests of LGS Innovations .docx,Emma,E.,Lange-Novak,Kirkland & Ellis LLP,Target/Seller
026 - CBS Outdoor Americas Inc and CBS Outdoor LLC acquisition of equity interes.docx,John,J.,Hyland,Jones Day,Buyer
026 - CBS Outdoor Americas Inc and CBS Outdoor LLC acquisition of equity interes.docx,Andrew,J.,Colosimo,"Fried, Frank, Harris, Shriver & Jacobson LLP",Target/Seller
